detection_backend,recognition_backend,preprocess_mode,alignment,deepface_model,gallery_persons,gallery_images,gallery_detection_rate,probe_images,probe_detection_rate,probe_embedding_rate,avg_detection_ms,avg_embedding_ms,threshold,tp,fp,fn,tn,accuracy,tpr,fpr,precision,f1
opencv_dnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,17.59205842709082,170.47621123596952,0.5,27,15,10,7,0.576271186440678,0.7297297297297297,0.6818181818181818,0.6428571428571429,0.6835443037974683
opencv_dnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,17.59205842709082,170.47621123596952,0.6,31,19,5,4,0.5932203389830508,0.8611111111111112,0.8260869565217391,0.62,0.7209302325581395
opencv_dnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,17.59205842709082,170.47621123596952,0.7,33,25,1,0,0.559322033898305,0.9705882352941176,1.0,0.5689655172413793,0.717391304347826
yolo,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,55.67520224703299,200.3983584269376,0.3,0,0,49,10,0.1694915254237288,0.0,0.0,0.0,0.0
yolo,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,55.67520224703299,200.3983584269376,0.4,12,0,37,10,0.3728813559322034,0.24489795918367346,0.0,1.0,0.39344262295081966
yolo,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,55.67520224703299,200.3983584269376,0.5,43,2,6,8,0.864406779661017,0.8775510204081632,0.2,0.9555555555555556,0.9148936170212766
yolo,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,55.67520224703299,200.3983584269376,0.6,48,5,0,6,0.9152542372881356,1.0,0.45454545454545453,0.9056603773584906,0.9504950495049505
yolo,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,55.67520224703299,200.3983584269376,0.7,48,11,0,0,0.8135593220338984,1.0,1.0,0.8135593220338984,0.897196261682243
dlib_hog,deepface,pad_resize,True,ArcFace,15,30,1.0,59,1.0,1.0,16.863007865191484,133.30746966293896,0.3,3,6,41,9,0.2033898305084746,0.06818181818181818,0.4,0.3333333333333333,0.11320754716981132
dlib_hog,deepface,pad_resize,True,ArcFace,15,30,1.0,59,1.0,1.0,16.863007865191484,133.30746966293896,0.4,12,6,32,9,0.3559322033898305,0.2727272727272727,0.4,0.6666666666666666,0.3870967741935484
dlib_hog,deepface,pad_resize,True,ArcFace,15,30,1.0,59,1.0,1.0,16.863007865191484,133.30746966293896,0.5,24,7,19,9,0.559322033898305,0.5581395348837209,0.4375,0.7741935483870968,0.6486486486486487
dlib_hog,deepface,pad_resize,True,ArcFace,15,30,1.0,59,1.0,1.0,16.863007865191484,133.30746966293896,0.6,38,10,4,7,0.7627118644067796,0.9047619047619048,0.5882352941176471,0.7916666666666666,0.8444444444444444
dlib_hog,deepface,pad_resize,True,ArcFace,15,30,1.0,59,1.0,1.0,16.863007865191484,133.30746966293896,0.7,41,13,0,5,0.7796610169491526,1.0,0.7222222222222222,0.7592592592592593,0.8631578947368421
dlib_hog,deepface,pad_resize,True,Facenet512,15,30,1.0,59,1.0,1.0,16.56346966292097,196.4832617976641,0.3,34,0,15,10,0.7457627118644068,0.6938775510204082,0.0,1.0,0.8192771084337349
dlib_hog,deepface,pad_resize,True,Facenet512,15,30,1.0,59,1.0,1.0,16.56346966292097,196.4832617976641,0.4,44,0,5,10,0.9152542372881356,0.8979591836734694,0.0,1.0,0.946236559139785
dlib_hog,deepface,pad_resize,True,Facenet512,15,30,1.0,59,1.0,1.0,16.56346966292097,196.4832617976641,0.5,46,3,3,7,0.8983050847457628,0.9387755102040817,0.3,0.9387755102040817,0.9387755102040817
dlib_hog,deepface,pad_resize,True,Facenet512,15,30,1.0,59,1.0,1.0,16.56346966292097,196.4832617976641,0.6,48,6,1,4,0.8813559322033898,0.9795918367346939,0.6,0.8888888888888888,0.9320388349514563
dlib_hog,deepface,pad_resize,True,Facenet512,15,30,1.0,59,1.0,1.0,16.56346966292097,196.4832617976641,0.7,48,10,0,1,0.8305084745762712,1.0,0.9090909090909091,0.8275862068965517,0.9056603773584906
dlib_hog,dlib,none,True,,15,30,1.0,59,1.0,1.0,16.638407865132884,170.6593348314599,0.3,1,0,48,10,0.1864406779661017,0.02040816326530612,0.0,1.0,0.04
